City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
534,Presidencia Roque Saenz Pena,-26.7852,-60.4388,73.99,85,86,1.99,AR,2021-03-04 06:40:54
535,Hovin,63.1055,10.225,32.0,93,90,3.44,NO,2021-03-04 06:40:54
536,Pietersburg,-23.9045,29.4688,64.4,82,20,1.14,ZA,2021-03-04 06:40:55
537,Belaya Gora,68.5333,146.4167,-17.59,86,100,17.25,RU,2021-03-04 06:40:55
538,Dembi Dolo,8.5333,34.8,70.86,46,100,4.05,ET,2021-03-04 06:40:55
539,Itarema,-2.9248,-39.9167,76.19,86,66,7.9,BR,2021-03-04 06:40:55
540,Sakaiminato,35.55,133.2333,59.0,58,75,8.05,JP,2021-03-04 06:39:15
541,Mae Ramat,16.984,98.5166,93.2,27,4,1.14,TH,2021-03-04 06:40:56
542,Gawler,-34.6,138.7333,77.0,38,0,8.99,AU,2021-03-04 06:40:56
543,Ewa Beach,21.3156,-158.0072,69.8,73,90,5.75,US,2021-03-04 06:40:56
544,Victoria Point,-27.5833,153.3,79.0,67,10,1.99,AU,2021-03-04 06:40:57
545,Honningsvag,70.9821,25.9704,26.6,93,90,17.27,NO,2021-03-04 06:40:57
546,Ucluelet,48.9329,-125.5528,44.01,81,100,1.99,CA,2021-03-04 06:36:28
547,Muhos,64.808,25.9931,19.4,93,75,8.05,FI,2021-03-04 06:40:24
548,Loei,17.4167,101.5,93.0,70,90,2.3,TH,2021-03-04 06:40:58
549,Tarakan,3.3,117.6333,82.83,69,100,5.91,ID,2021-03-04 06:40:58
550,Sibolga,1.7427,98.7792,88.88,54,59,5.55,ID,2021-03-04 06:36:44
551,Waitati,-45.75,170.5667,54.0,89,98,15.99,NZ,2021-03-04 06:40:58
552,Gazanjyk,39.2446,55.5154,51.64,60,80,19.46,TM,2021-03-04 06:40:59
553,Chicama,-7.8447,-79.1469,75.29,71,100,2.68,PE,2021-03-04 06:40:59
554,Buraydah,26.326,43.975,73.4,60,0,9.22,SA,2021-03-04 06:40:59
555,Pombas,17.1503,-25.0201,69.8,78,75,26.46,CV,2021-03-04 06:40:59
556,Kapoeta,4.7717,33.5903,90.73,22,100,24.32,SS,2021-03-04 06:41:00
557,Pekan,3.4836,103.3996,87.8,70,40,10.36,MY,2021-03-04 06:41:00
558,Kingseat,56.0974,-3.4084,39.2,93,90,2.3,GB,2021-03-04 06:41:00
